provider	engine	sampler	n_for_train	seed	accuracy	precision	recall	f1
mistral	mistral-small-latest	tanimoto	6	42	0.43	0.4318181818181818	0.3725490196078431	0.4
mistral	mistral-small-latest	tanimoto	6	84	0.4	0.3548387096774194	0.2156862745098039	0.2682926829268293
mistral	mistral-small-latest	tanimoto	6	200	0.45	0.475	0.7450980392156863	0.5801526717557252
mistral	mistral-small-latest	tanimoto	6	12345	0.44	0.391304347826087	0.1764705882352941	0.2432432432432432
mistral	mistral-small-latest	tanimoto	8	36	0.42	0.3793103448275862	0.2156862745098039	0.275
mistral	mistral-small-latest	tanimoto	8	42	0.41	0.4428571428571428	0.6078431372549019	0.512396694214876
mistral	mistral-small-latest	tanimoto	8	84	0.46	0.4810126582278481	0.7450980392156863	0.5846153846153846
mistral	mistral-small-latest	tanimoto	8	200	0.44	0.4242424242424242	0.2745098039215686	0.3333333333333333
mistral	mistral-small-latest	tanimoto	8	12345	0.42	0.2941176470588235	0.0980392156862745	0.1470588235294117
mistral	mistral-small-latest	tanimoto	10	36	0.45	0.4090909090909091	0.1764705882352941	0.2465753424657534
mistral	mistral-small-latest	tanimoto	10	42	0.39	0.375	0.2941176470588235	0.3296703296703296
mistral	mistral-small-latest	tanimoto	10	84	0.48	0.4933333333333333	0.7254901960784313	0.5873015873015873
mistral	mistral-small-latest	tanimoto	10	200	0.44	0.4576271186440678	0.5294117647058824	0.4909090909090909
mistral	mistral-small-latest	tanimoto	10	12345	0.42	0.2666666666666666	0.0784313725490196	0.1212121212121212
mistral	mistral-large-latest	tanimoto	2	200	0.52	0.8	0.0784313725490196	0.1428571428571428
mistral	mistral-large-latest	tanimoto	2	12345	0.53	0.75	0.1176470588235294	0.2033898305084746
mistral	mistral-large-latest	tanimoto	4	36	0.52	0.56	0.2745098039215686	0.3684210526315789
mistral	mistral-large-latest	tanimoto	4	42	0.47	0.4666666666666667	0.2745098039215686	0.345679012345679
mistral	mistral-large-latest	tanimoto	4	84	0.54	0.6666666666666666	0.196078431372549	0.303030303030303
mistral	mistral-large-latest	tanimoto	4	200	0.52	0.6153846153846154	0.1568627450980392	0.25
mistral	mistral-large-latest	tanimoto	4	12345	0.5050505050505051	0.6	0.1176470588235294	0.1967213114754098
mistral	mistral-small-latest	tanimoto	2	36	0.5	0.5056179775280899	0.8823529411764706	0.6428571428571429
mistral	mistral-large-latest	tanimoto	8	84	0.5	0.5084745762711864	0.5882352941176471	0.5454545454545454
mistral	mistral-large-latest	tanimoto	8	200	0.52	0.5272727272727272	0.5686274509803921	0.5471698113207547
mistral	mistral-large-latest	tanimoto	8	12345	0.52	0.52	0.7647058823529411	0.6190476190476191
mistral	mistral-large-latest	tanimoto	10	36	0.51	0.5119047619047619	0.8431372549019608	0.6370370370370371
mistral	mistral-large-latest	tanimoto	10	42	0.51	0.5121951219512195	0.8235294117647058	0.631578947368421
mistral	mistral-large-latest	tanimoto	10	84	0.58	0.56	0.8235294117647058	0.6666666666666666
mistral	mistral-large-latest	tanimoto	10	200	0.55	0.546875	0.6862745098039216	0.6086956521739131
mistral	mistral-large-latest	tanimoto	10	12345	0.51	0.5172413793103449	0.5882352941176471	0.5504587155963303
mistral	mistral-large-latest	tanimoto	2	36	0.48	0.3333333333333333	0.0196078431372549	0.037037037037037
mistral	mistral-large-latest	tanimoto	2	42	0.51	0.75	0.0588235294117647	0.109090909090909
mistral	mistral-small-latest	tanimoto	2	42	0.48	0.4947368421052631	0.9215686274509804	0.6438356164383562
mistral	mistral-large-latest	tanimoto	2	84	0.51	0.75	0.0588235294117647	0.109090909090909
mistral	mistral-large-latest	tanimoto	6	36	0.57	0.5571428571428572	0.7647058823529411	0.6446280991735537
mistral	mistral-large-latest	tanimoto	6	42	0.5	0.5084745762711864	0.5882352941176471	0.5454545454545454
mistral	mistral-large-latest	tanimoto	6	84	0.61	0.575	0.9019607843137256	0.7022900763358778
mistral	mistral-large-latest	tanimoto	6	200	0.49	0.5	0.4313725490196078	0.4631578947368421
mistral	mistral-large-latest	tanimoto	6	12345	0.53	0.5384615384615384	0.5490196078431373	0.5436893203883495
mistral	mistral-large-latest	tanimoto	8	36	0.57	0.5540540540540541	0.803921568627451	0.656
mistral	mistral-large-latest	tanimoto	8	42	0.54	0.5308641975308642	0.8431372549019608	0.6515151515151515
mistral	mistral-small-latest	equal	2	36	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
mistral	mistral-small-latest	equal	2	42	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
openai	gpt-4	tanimoto	10	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	2	36	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	2	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	2	84	0.43	0.4166666666666667	0.2941176470588235	0.3448275862068966
openai	gpt-3.5-turbo	tanimoto	2	200	0.49	0.0	0.0	0.0
openai	gpt-3.5-turbo	tanimoto	2	12345	0.52	0.5151515151515151	1.0	0.68
openai	gpt-3.5-turbo	tanimoto	4	36	0.47	0.0	0.0	0.0
openai	gpt-3.5-turbo	tanimoto	4	42	0.48	0.0	0.0	0.0
openai	gpt-3.5-turbo	tanimoto	4	84	0.47	0.25	0.0196078431372549	0.0363636363636363
openai	gpt-3.5-turbo	tanimoto	4	200	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	4	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	6	36	0.49	0.5	0.8235294117647058	0.6222222222222222
openai	gpt-3.5-turbo	tanimoto	6	42	0.47	0.0	0.0	0.0
openai	gpt-3.5-turbo	tanimoto	6	84	0.49	0.0	0.0	0.0
openai	gpt-3.5-turbo	tanimoto	6	200	0.51	0.5104166666666666	0.9607843137254902	0.6666666666666666
openai	gpt-3.5-turbo	tanimoto	6	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	8	36	0.51	0.5833333333333334	0.1372549019607843	0.2222222222222222
openai	gpt-3.5-turbo	tanimoto	8	42	0.49	0.5	0.803921568627451	0.6165413533834586
openai	gpt-3.5-turbo	tanimoto	8	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	8	200	0.53	0.5769230769230769	0.2941176470588235	0.3896103896103896
openai	gpt-3.5-turbo	tanimoto	8	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	10	36	0.48	0.0	0.0	0.0
openai	gpt-3.5-turbo	tanimoto	10	42	0.52	0.6363636363636364	0.1372549019607843	0.2258064516129032
openai	gpt-3.5-turbo	tanimoto	10	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	10	200	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	tanimoto	10	12345	0.5	0.5050505050505051	0.9803921568627452	0.6666666666666666
openai	gpt-4	tanimoto	2	36	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	2	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	2	84	0.53	0.6428571428571429	0.1764705882352941	0.2769230769230769
openai	gpt-4	tanimoto	2	200	0.49	0.0	0.0	0.0
openai	gpt-4	tanimoto	2	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	4	36	0.49	0.0	0.0	0.0
openai	gpt-4	tanimoto	4	42	0.49	0.0	0.0	0.0
openai	gpt-4	tanimoto	4	84	0.49	0.5	0.0784313725490196	0.135593220338983
openai	gpt-4	tanimoto	4	200	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	4	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	6	36	0.5	0.5050505050505051	0.9803921568627452	0.6666666666666666
openai	gpt-4	tanimoto	6	42	0.49	0.0	0.0	0.0
openai	gpt-4	tanimoto	6	84	0.49	0.0	0.0	0.0
openai	gpt-4	tanimoto	6	200	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	6	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	8	36	0.5	0.5238095238095238	0.2156862745098039	0.3055555555555556
openai	gpt-4	tanimoto	8	42	0.49	0.5	0.9607843137254902	0.6577181208053692
openai	gpt-4	tanimoto	8	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	8	200	0.47	0.4864864864864865	0.7058823529411765	0.576
openai	gpt-4	tanimoto	8	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	10	36	0.49	0.0	0.0	0.0
openai	gpt-4	tanimoto	10	42	0.5	0.5111111111111111	0.4509803921568627	0.4791666666666667
openai	gpt-4	tanimoto	10	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	tanimoto	10	200	0.51	0.51	1.0	0.6754966887417219
